Company_Id,Status,Issue/ Comments
3724864,TECH,
3939586,TECH,
2950024,TECH,
1349512,TECH,
1122748,TECH,
3255568,TECH,
1964902,TECH,
3159830,TECH,
3111862,TECH,
3783114,TECH,
3829150,TECH,
3724904,TECH,
1686220,TECH,
3951124,TECH,
3724966,TECH,
3400818,TECH,
1707082,TECH,
3505020,TECH,
3951054,TECH,
3734288,TECH,
3829006,TECH,
4037146,TECH,
1892762,TECH,
3939316,TECH,
1962472,TECH,
3939364,TECH,
3951042,TECH,
4037226,TECH,
3883980,TECH,
1254532,TECH,
1641990,TECH,
1641954,TECH,
3866490,TECH,
3649434,TECH,
1842862,TECH,
3650462,TECH,
3336214,TECH,
1852118,TECH,
1878746,TECH,
2254984,TECH,
1877462,TECH,
1891752,TECH,
2521842,TECH,
1581614,TECH,
1865566,TECH,
1853530,TECH,
2521988,TECH,
2903066,TECH,
1840422,TECH,
3005928,TECH,
3820918,TECH,
2492606,TECH,
2700792,TECH,
1865660,TECH,
3866306,TECH,
3600014,TECH,
2518428,TECH,
3829382,TECH,
1877690,TECH,
1961652,TECH,
1690540,TECH,
1864446,TECH,
2506576,TECH,
3830270,TECH,
4125948,TECH,
3391554,TECH,
3560834,TECH,
3643766,TECH,
1813000,TECH,
3930312,TECH,
3930292,TECH,
3642472,TECH,
3220068,TECH,
2256288,TECH,
1960592,TECH,
1887274,TECH,
3596794,TECH,
2788920,TECH,
3596714,TECH,
1642696,TECH,
3499588,TECH,
3112386,TECH,
1617698,TECH,
1459138,TECH,
1756910,TECH,
3594000,TECH,
1850092,TECH,
3125726,TECH,
2256190,TECH,
1840824,TECH,
2787960,TECH,
1643892,TECH,
1755688,TECH,
2029624,TECH,
1789028,TECH,
1755668,TECH,
3125776,TECH,
1643834,TECH,
1690184,TECH,
2053398,TECH,
3643562,TECH,
1755712,TECH,
2042708,TECH,
3111210,TECH,
1840962,TECH,
1886308,TECH,
1864940,TECH,
1269614,TECH,
1728210,TECH,
1137434,TECH,
3930744,TECH,
3110054,TECH,
3642898,TECH,
2254008,TECH,
2255308,TECH,
3436568,TECH,
1897090,TECH,
3857616,TECH,
3652302,TECH,
3111450,TECH,
3883756,TECH,
2521108,TECH,
3930616,TECH,
3833488,TECH,
2522472,TECH,
3642986,TECH,
2257852,TECH,
2607864,TECH,
3231256,TECH,
3110258,TECH,
2257712,TECH,
1887934,TECH,
3582804,TECH,
3111682,TECH,
2701134,TECH,
3424628,TECH,
3642788,TECH,
3930396,TECH,
1970466,TECH,
3111762,TECH,
1644598,TECH,
3968044,TECH,
3995660,TECH,
2247304,TECH,
1993390,TECH,
2610982,TECH,
2609964,TECH,
3114024,TECH,
1884190,TECH,
3646882,TECH,
3575852,TECH,
2246040,TECH,
2033924,TECH,
3968036,TECH,
4115032,TECH,
1799124,TECH,
2029080,TECH,
3442656,TECH,
3153706,TECH,
3923940,TECH,
1970628,TECH,
3646934,TECH,
2248540,TECH,
3574872,TECH,
1884450,TECH,
3779776,Escalation,Escalation
2357590,TECH,
1970946,TECH,
3153838,TECH,
2259178,TECH,
3597490,TECH,
1848724,TECH,
2441906,TECH,
2247126,TECH,
2247134,TECH,
3779804,TECH,
2861468,TECH,
1883256,TECH,
2790652,TECH,
2788248,TECH,
3597380,TECH,
1559054,TECH,
1857008,TECH,
2611868,TECH,
3125158,TECH,
2789000,TECH,
1776892,TECH,
2933142,TECH,
1882104,TECH,
3574936,TECH,
3113254,TECH,
3836566,TECH,
3525980,TECH,
1127076,TECH,
3946992,TECH,
3946996,TECH,
2259696,TECH,
3681710,TECH,
2861150,TECH,
2524308,TECH,
1394256,TECH,
2031594,TECH,
2260550,TECH,
3597854,TECH,
2861038,TECH,
3500890,TECH,
1368076,TECH,
1695318,TECH,
2032986,TECH,
3970478,TECH,
3884072,TECH,
3944198,TECH,
1895760,TECH,
1894422,TECH,
1673844,TECH,
980742,TECH,
2250104,TECH,
1673880,TECH,
3660308,TECH,
3526012,TECH,
2611398,TECH,
2611394,TECH,
3154150,TECH,
1749722,TECH,
3998690,TECH,
1600754,TECH,
2525068,TECH,
3154274,TECH,
3951876,TECH,
3672072,TECH,
1686950,TECH,
2949780,TECH,
3504888,TECH,
2611766,TECH,
1879116,TECH,
1965448,TECH,
2252352,TECH,
1880180,TECH,
2513212,TECH,
1417110,TECH,
2608074,TECH,
3153164,TECH,
1845762,TECH,
1903222,TECH,
2600324,TECH,
2357318,TECH,
1674742,TECH,
3323928,TECH,
2357296,TECH,
1893668,TECH,
1674630,TECH,
3669166,TECH,
2902938,TECH,
2249468,TECH,
3405326,TECH,
1360398,TECH,
1360384,TECH,
3153312,TECH,
3732922,TECH,
1881636,TECH,
1894900,TECH,
1880470,TECH,
1975324,TECH,
3697704,TECH,
2611178,TECH,
1384088,TECH,
3191730,TECH,
2251628,TECH,
2249312,TECH,
3236372,TECH,
3697850,TECH,
1964574,TECH,
1687764,TECH,
3501298,TECH,
1384148,TECH,
1129074,TECH,
3310776,TECH,
2042556,TECH,
1617580,TECH,
4313504,TECH,
3517786,TECH,
4241744,TECH,
1832972,TECH,
3575936,TECH,
2536554,TECH,
3618884,TECH,
1776342,TECH,
4183930,TECH,
3587370,TECH,
1972354,TECH,
3642742,Escalation,Escalation
3820874,TECH,
2522080,TECH,
4467144,TECH,
3774210,TECH,
4034230,Escalation,Escalation
4466840,TECH,
3632776,TECH,
3587226,TECH,
2258624,TECH,
1138808,TECH,
2523826,TECH,
3698018,TECH,
792902,TECH,
2034488,TECH,
1865452,TECH,
4479320,TECH,
3951514,TECH,
1899006,TECH,
1896570,TECH,
1778660,TECH,
2692522,TECH,
1843896,TECH,
1883210,TECH,
3111398,TECH,
2361138,TECH,
1616852,TECH,
3590318,TECH,
2033452,TECH,
4372658,TECH,
4372322,TECH,
1340490,TECH,
2520346,TECH,
4153374,TECH,
4375386,TECH,
2751396,TECH,
1960380,TECH,
2610572,TECH,
1227538,TECH,
1029024,TECH,
1570566,TECH,
3125044,TECH,
3924932,TECH,
1394312,TECH,
1360476,TECH,
1612830,TECH,
1673964,TECH,
1686962,TECH,
2252520,TECH,
3491966,TECH,
3905026,TECH,
4550364,TECH,
2519578,TECH,
3590260,TECH,
4571280,TECH,
4589630,TECH,
1642980,TECH,
4098300,TECH,
4343892,TECH,
4577728,TECH,
1691154,TECH,
1894240,TECH,
4611698,TECH,
1894106,TECH,
3588480,TECH,
3590654,TECH,
3976728,TECH,
4372318,TECH,
3143158,TECH,
1841902,TECH,
1880488,TECH,
1581626,TECH,
792898,TECH,
2254126,TECH,
4173658,TECH,
1839168,TECH,
4571372,TECH,
3698238,TECH,
3143594,TECH,
2265624,TECH,
1348842,TECH,
3863912,Escalation,Escalation
3681714,TECH,
4241220,TECH,
1963914,TECH,
4153206,TECH,
1881600,TECH,
2612928,TECH,
2525494,TECH,
1881744,TECH,
2356598,TECH,
2259006,TECH,
1884262,TECH,
4138782,TECH,
4629060,TECH,
4631544,TECH,
3883916,TECH,
2701238,TECH,
3092120,TECH,
1965638,TECH,
3464696,TECH,
1776338,TECH,
3587702,TECH,
1690188,TECH,
4314894,TECH,
4646464,TECH,
3660966,TECH,
3733292,TECH,
4646432,TECH,
4649668,TECH,
2042178,TECH,
1975306,TECH,
1896662,TECH,
4646512,TECH,
2788700,TECH,
2788244,TECH,
1430352,Non-Workable,
1751868,Non-Workable,
728574,Non-Workable,
1749566,Non-Workable,
1136252,Non-Workable,
1751096,Non-Workable,
1617980,Non-Workable,
84322,CSM,CSM
4243512,CSM,CSM
1872096,CSM,CSM
530831,CSM,CSM
652653,CSM,CSM
3573856,CSM,CSM
3387460,CSM,CSM
1631630,CSM,CSM
2738076,CSM,CSM
158869,CSM,CSM
3828038,CSM,CSM
913356,CSM,CSM
4124,CSM,CSM
977092,CSM,CSM
92328,CSM,CSM
18735,CSM,CSM
4426402,CSM,CSM
2330770,CSM,CSM
49992,CSM,CSM
487995,CSM,CSM
459213,CSM,CSM
845197,CSM,CSM
6129,CSM,CSM
125703,CSM,CSM
718083,CSM,CSM
2433972,CSM,CSM
1309,CSM,CSM
97628,CSM,CSM
1057204,CSM,CSM
733393,CSM,CSM
